basepk,topic,category
560639,prohibition of corporate political contributions,Government and Parliamentary Affairs
560747,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560679,Dominion Franchise Act candidate residency restrictions,Government and Parliamentary Affairs
560352,disenfranchisement of citizens of enemy ancestry,"Justice, Constitution, and Indigenous Affairs"
560666,prohibition of non-resident election canvassing,Government and Parliamentary Affairs
560693,proposed amendments to the Dominion Franchise Act,Government and Parliamentary Affairs
560763,settlement of British Columbia Indian land disputes,"Justice, Constitution, and Indigenous Affairs"
560774,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560629,corporate political campaign contribution restrictions,Government and Parliamentary Affairs
560744,British Columbia Indian land settlement agreement,"Justice, Constitution, and Indigenous Affairs"
560772,British Columbia Indian land disputes settlement,"Justice, Constitution, and Indigenous Affairs"
560684,candidates' qualifications for dominion elections,Government and Parliamentary Affairs
560756,British Columbia Indian land title claims,"Justice, Constitution, and Indigenous Affairs"
560780,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560714,hiring of election conveyances,Government and Parliamentary Affairs
560788,British Columbia Indian land claims settlement,"Justice, Constitution, and Indigenous Affairs"
560724,St. James electoral district election postponement,Government and Parliamentary Affairs
560755,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560752,British Columbia Indian land title claims,"Justice, Constitution, and Indigenous Affairs"
560743,British Columbia Indian reserve land settlement,"Justice, Constitution, and Indigenous Affairs"
560422,interim supply grant procedure,Public Finance and Taxation
560661,prohibition of corporate campaign contributions,Government and Parliamentary Affairs
560773,British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560786,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560790,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560778,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560787,settlement of British Columbia Indian land claims,"Justice, Constitution, and Indigenous Affairs"
560820,regulation of maple products adulteration,Agriculture and Food Policy
560838,regulation of honey adulteration,Agriculture and Food Policy
560805,regulation of maple product labeling,Agriculture and Food Policy
560864,status of small flour mills,Agriculture and Food Policy
560783,British Columbia Indian reserve land settlement,"Justice, Constitution, and Indigenous Affairs"
560874,formal termination of the state of war,Veterans' and Military Affairs
560897,statistical data on indian reserves,"Justice, Constitution, and Indigenous Affairs"
560861,Canada Wheat Board operations and termination,Agriculture and Food Policy
560889,cross-border wheat shipments and wheat board regulations,Agriculture and Food Policy
560863,small flour mill economic difficulties,Agriculture and Food Policy
560906,Canadian delegation to the International Labour Conference,Social Welfare and Labour
560950,reconstruction and repair of Orleans Island wharves,Transportation and Communications
560869,recruitment of farm labour for spring work,Social Welfare and Labour
560909,Canadian military police deployment and expenses,Veterans' and Military Affairs
560392,inquiry regarding Grand Trunk Railway stock disclosure,Transportation and Communications
560948,prohibition and liquor legislation,"Justice, Constitution, and Indigenous Affairs"
561016,ineffectiveness of salmon hatcheries,Natural Resources and Intergovernmental Relations
557562,opposition to compulsory moral legislation,"Justice, Constitution, and Indigenous Affairs"
560900,delivery of 1919 Victory Loan bonds,Public Finance and Taxation
557554,prohibition and lawlessness,"Justice, Constitution, and Indigenous Affairs"
561021,British Columbia salmon cannery monopoly,Natural Resources and Intergovernmental Relations
561036,international representation of the Armenian people,"Justice, Constitution, and Indigenous Affairs"
560933,disposal of seized smuggled automobiles,"Justice, Constitution, and Indigenous Affairs"
560923,Hudson Bay Railway construction status and costs,Transportation and Communications
561019,British Columbia salmon fisheries policy,Natural Resources and Intergovernmental Relations
557566,national fiscal policy and protectionism,International Trade and Tariffs
560872,Canada Wheat Board administrative expenses,Agriculture and Food Policy
561026,mandatory annual inspection of trust companies,Banking and Monetary Policy
561058,safety of Captain John A. Barron,Government and Parliamentary Affairs
557574,demand for a general election and franchise reform,Government and Parliamentary Affairs
560993,federal government programs for immigrant Canadianization,"Justice, Constitution, and Indigenous Affairs"
561081,flooding of the river St. Peter,Natural Resources and Intergovernmental Relations
