topic,category,error
consular relations with Czechoslovakia,Trade & Foreign Affairs,
potato farmers anti-dumping action,"Sectoral Policy: Resources, Agriculture & Transport",
air transportation subsidies and fares,"Sectoral Policy: Resources, Agriculture & Transport",
Income Tax Act enforcement equity,Taxation,
bank rates and profits,Economy & Public Finance,
farmer assistance and interest rates,Economy & Public Finance,
interest rates and economic interdependence,Economy & Public Finance,
Income Tax Act expense deductibility rules,Taxation,
farmers' income tax deductions,Taxation,
income tax assessment of artists,Taxation,
fisheries conservation and Atlantic Canada,"Sectoral Policy: Resources, Agriculture & Transport",
payroll deductions and company responsibility,Taxation,
Charter of Rights and income tax system,Taxation,
productivity improvement initiatives,Economy & Public Finance,
job creation and northern benefits taxation,Taxation,
job creation and unemployment in Schefferville,Economy & Public Finance,
multiculturalism and cultural heritage,Social Policy,
multiculturalism policy and legislation,Social Policy,
citizenship for elderly immigrants,"Justice, Rights & Immigration",
citizenship requirements for seniors,"Justice, Rights & Immigration",
multiculturalism funding and council changes,Social Policy,
Canadian Multiculturalism Council composition and funding,Social Policy,
committee review of tax legislation,Taxation,
Ways and Means motions and Finance Committee process,Parliamentary Procedure,
investment tax credits and asset appreciation,Taxation,
capital gains tax and small business,Taxation,
capital gains tax under existing structure,Taxation,
tax system simplification for R&D and small business,Taxation,
Income Tax Act and economic stimulus,Taxation,
tax simplification consultations,Taxation,
inflation protection for asset valuation,Economy & Public Finance,
Quebec Premier's foreign representation,Trade & Foreign Affairs,
Saint-Francois River flood control funding,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian vs US interest rates and monetary policy,Economy & Public Finance,
athlete doping and Olympic Games participation,Trade & Foreign Affairs,
US trade commission ruling on horticultural association,Trade & Foreign Affairs,
Alberta Court of Appeal judgment on law enforcement,"Justice, Rights & Immigration",
order of business for Bill C-2,Parliamentary Procedure,
Cruise missile testing on Canadian soil,Defence & National Security,
business equity and tax relief,Taxation,
Income Tax Act consultation process,Taxation,
public consultation on tax measures,Taxation,
farm losses and tax amortization,Taxation,
farm tax system loopholes and speculation,Taxation,
aid to Uranium City following mine closure,Economy & Public Finance,
taxation of northern employee benefits,Taxation,
regulation of personal stereo sound systems,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Health Act and party politics,Social Policy,
accountability framework for Crown corporations,Government & Electoral Affairs,
Crown corporation funding and accountability,Government & Electoral Affairs,
five-year plan consultation with union representatives,Economy & Public Finance,
Canada Post Corporation compliance with legislation,Government & Electoral Affairs,
Supreme Court decision on prosecution,"Justice, Rights & Immigration",
dredging capacity improvement funds,"Sectoral Policy: Resources, Agriculture & Transport",
free exchange of plant genetic resources,"Sectoral Policy: Resources, Agriculture & Transport",
international board of plant genetic resources,"Sectoral Policy: Resources, Agriculture & Transport",
minimum security federal penitentiary in Newfoundland,"Justice, Rights & Immigration",
tax incentives versus government grants,Taxation,
tax incentives and anti-avoidance rules,Taxation,
tax rates and government incentives,Taxation,
farm transfer tax exemption,Taxation,
government subsidies for corporations vs individual taxpayers,Taxation,
corporate tax and market demand,Taxation,
taxation and pensioners' incomes,Taxation,
tax policy and trickle-down theory,Taxation,
tax relief and job creation gap,Taxation,
tax burden on income earners,Taxation,
voluntary sector funding and tax expenditures,Taxation,
tax credits for voluntary sector,Taxation,
tax deduction for charitable donations,Taxation,
tax deductions and charitable giving,Taxation,
Income Tax Act standard deduction,Taxation,
tax credit vs tax deduction for charitable giving,Taxation,
unanimous consent for extended question period,Parliamentary Procedure,
income tax reform and capital gains,Taxation,
indexed security investment plan tax inequity,Taxation,
government multiculturalism policy and immigration,Social Policy,
auditor performance measurement,Government & Electoral Affairs,
employee work quality and efficiency standards,Government & Electoral Affairs,
auditor promotions in Department of National Revenue,Government & Electoral Affairs,
Canada's role in nuclear disarmament talks,Trade & Foreign Affairs,
international arms control proposals,Trade & Foreign Affairs,
new impaired and dangerous driving offences,"Justice, Rights & Immigration",
Canadian citizen's legal rights in US,"Justice, Rights & Immigration",
Bridge and Tank Company plant closure,"Sectoral Policy: Resources, Agriculture & Transport",
federal government obligations to municipalities,Constitutional & Intergovernmental Relations,
income tax objections and appeals,Taxation,
second reading of Bill C-2,Parliamentary Procedure,
committee terms of reference and recommendations,Parliamentary Procedure,
Standing Orders and House of Commons reform,Parliamentary Procedure,
Speaker's discretion in Question Period,Parliamentary Procedure,
question period question allocation practice,Parliamentary Procedure,
cable television installation regulations,"Sectoral Policy: Resources, Agriculture & Transport",
grouping of technical amendments,Parliamentary Procedure,
income tax exemptions for charities,Taxation,
tax exemption for charitable organizations,Taxation,
definition of voluntary organizations,Taxation,
charitable organizations and taxation,Taxation,
appeal procedure for entity qualification,Taxation,
indexing capital gains on common shares,Taxation,
budget measures for economic recovery,Economy & Public Finance,
capital gains protection on shares,Taxation,
capital gains tax on shares,Taxation,
small business equity market measures,Taxation,
ISIP program and marginal trading,Taxation,
incentives for business equity financing,Taxation,
small business equity and tax flexibility,Taxation,
ISIP program taxation of farmers,Taxation,
Cape Breton coal pricing and trade,"Sectoral Policy: Resources, Agriculture & Transport",
federal sales tax on imported tourist brochures,Taxation,
Canada Labour Code and technological change,Government & Electoral Affairs,
taxation of capital gains and investment income,Taxation,
taxation of low and high income earners,Taxation,
indexing of income tax and exemptions,Taxation,
indexing of government benefits and income,Social Policy,
encouraging Canadian equity investments,Taxation,
tax system protections for various groups,Taxation,
small business tax and allowances,Taxation,
investment dealers and computer models for ISIPs,Taxation,
indexation of capital gains against inflation,Taxation,
taxation of real capital gains for investors,Taxation,
equity financing for businesses,Taxation,
taxation of equity returns,Taxation,
Canadian equity investment and foreign ownership,Trade & Foreign Affairs,
taxation of capital gains and small business equity,Taxation,
investment incentives program ISIP,Taxation,
point of order on lost clause,Parliamentary Procedure,
dilatory motions not in order,Parliamentary Procedure,
interest rates and international comparison,Economy & Public Finance,
fish habitat and economic development,"Sectoral Policy: Resources, Agriculture & Transport",
intergovernmental negotiations on Quebec,Constitutional & Intergovernmental Relations,
dioxin leaching into Niagara River,"Sectoral Policy: Resources, Agriculture & Transport",
Canada-Japan automotive trade negotiations,Trade & Foreign Affairs,
export trade and foreign investment,Trade & Foreign Affairs,
labour adjustment policy for Crown corporations,Government & Electoral Affairs,
